name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100648268,LOC100648268,2,0,0,0,0,0,0
LOC100650023,LOC100650023,139,138,20,22,102,116,6
LOC125384698,LOC125384698,0,2,0,0,0,0,0
LOC100650139,LOC100650139,142,115,52,56,91,115,66
LOC125384718,LOC125384718,1,0,0,0,1,6,1
LOC100650265,LOC100650265,92,96,85,65,73,92,71
LOC100650388,LOC100650388,24,22,28,14,29,91,26
LOC100650511,LOC100650511,77,78,21,18,112,108,124
LOC105666912,LOC105666912,61,26,44,29,34,41,39
LOC100650629,LOC100650629,52,104,95,44,109,65,56
LOC100650754,LOC100650754,299,277,84,90,284,118,244
LOC125384641,LOC125384641,42,46,31,24,125,128,73
LOC100650872,LOC100650872,205,328,153,146,300,435,214
LOC100651113,LOC100651113,444,653,429,176,698,548,433
LOC100648385,LOC100648385,89,68,160,203,114,302,95
LOC125384793,LOC125384793,0,0,0,0,0,0,0
LOC125385192,LOC125385192,0,8,0,0,4,0,0
LOC100651235,LOC100651235,32,63,6,8,48,18,83
LOC100651474,LOC100651474,121,121,24,8,105,60,1347
LOC105667172,LOC105667172,0,0,0,0,0,0,50
LOC110119538,LOC110119538,0,2,4,0,0,54,4
LOC100651591,LOC100651591,16,26,78,85,32,42,32
LOC100651709,LOC100651709,59,68,113,109,102,90,93
LOC100651827,LOC100651827,13,10,5,5,4,10,9
LOC125385244,LOC125385244,0,0,1,0,0,0,0
LOC100648076,LOC100648076,28,25,12,9,15,2,9
LOC100652027,LOC100652027,199,189,372,367,196,196,234
LOC100642190,LOC100642190,66,108,73,62,112,82,124
LOC100648617,LOC100648617,12,12,13,15,13,15,21
LOC100642911,LOC100642911,66,70,48,30,70,48,38
LOC100642433,LOC100642433,28,52,74,40,56,85,27
LOC100642313,LOC100642313,118,101,74,57,114,78,95
LOC100643028,LOC100643028,225,348,744,559,300,1098,401
LOC100642673,LOC100642673,159,177,320,138,121,252,200
LOC100642551,LOC100642551,84,105,75,73,99,132,83
LOC100652148,LOC100652148,243,482,364,252,363,504,272
LOC100648733,LOC100648733,5,6,2,2,8,3,10
LOC125385578,LOC125385578,6,2,10,6,9,12,8
LOC100642791,LOC100642791,74,80,40,64,68,90,83
LOC100648847,LOC100648847,4,11,10,6,8,24,11
LOC100648963,LOC100648963,42,38,54,34,34,47,37
LOC100642312,LOC100642312,64,43,84,64,61,96,54
LOC100642432,LOC100642432,52,60,53,46,38,84,46
LOC100642550,LOC100642550,41,41,6,8,42,16,28
LOC100642672,LOC100642672,77,57,106,76,86,96,143
LOC100642790,LOC100642790,68,88,86,67,76,72,57
LOC100642910,LOC100642910,171,162,98,111,150,160,181
LOC100643147,LOC100643147,39,85,44,17,33,135,44
LOC100643514,LOC100643514,87,226,11,12,246,28,25
LOC100643027,LOC100643027,141,78,90,102,106,149,100
LOC100643270,LOC100643270,45,30,17,16,24,28,18
LOC100643393,LOC100643393,18,22,23,12,16,26,18
LOC100644354,LOC100644354,208,240,166,68,246,426,365
LOC100643837,LOC100643837,23,38,34,15,22,34,33
LOC100644746,LOC100644746,4,7,0,0,2,2,0
LOC100644236,LOC100644236,177,194,111,24,267,117,149
LOC100649198,LOC100649198,36,29,34,18,42,20,23
LOC100644628,LOC100644628,13,12,25,18,17,37,14
LOC100644046,LOC100644046,226,297,101,50,313,101,181
LOC100644871,LOC100644871,161,218,246,124,227,286,341
LOC100644991,LOC100644991,66,65,29,42,61,61,81
LOC100645110,LOC100645110,45,49,48,28,50,80,97
LOC100645230,LOC100645230,29,22,27,8,46,310,35
LOC105666164,LOC105666164,26,22,35,15,23,32,32
LOC100645431,LOC100645431,0,2,2,0,0,34,0
LOC100649317,LOC100649317,68,70,97,51,91,139,99
LOC100645550,LOC100645550,100,95,96,61,115,88,120
LOC100645787,LOC100645787,79,103,82,49,157,117,108
LOC100645666,LOC100645666,216,212,170,142,220,610,238
LOC100645973,LOC100645973,59,47,83,54,48,51,56
LOC100646091,LOC100646091,141,68,42,16,126,65,44
LOC100646214,LOC100646214,146,187,82,62,125,80,75
LOC100649434,LOC100649434,316,322,348,256,229,1346,326
LOC100649559,LOC100649559,0,2,2,0,0,0,10
LOC125387181,LOC125387181,0,0,0,0,0,2,17
LOC100649679,LOC100649679,82,106,57,60,81,79,85
LOC105666289,LOC105666289,16,19,0,1,22,2,1
LOC100647053,LOC100647053,15,37,3,2,35,2,8
LOC100646937,LOC100646937,5,0,0,2,2,4,1
LOC100646694,LOC100646694,203,215,71,73,297,275,211
LOC100646815,LOC100646815,76,66,86,59,73,65,48
LOC100646573,LOC100646573,20,23,25,30,19,50,8
LOC100647171,LOC100647171,4,4,27,46,2,41,0
LOC100647285,LOC100647285,4,1,8,6,0,77,605
LOC100647601,LOC100647601,34,73,973,510,92,546,1312
LOC100649793,LOC100649793,27,33,15,8,33,19,80
LOC100647405,LOC100647405,256,297,137,145,268,265,446
LOC125387209,LOC125387209,0,0,0,0,0,0,0
LOC105666407,LOC105666407,0,1,0,0,6,2,0
LOC100647800,LOC100647800,0,6,0,0,4,6,0
LOC100647922,LOC100647922,0,2,4,0,4,4,2
LOC100648043,LOC100648043,2,0,4,4,0,8,0
LOC100648154,LOC100648154,6,8,93,120,10,23,2
LOC100649911,LOC100649911,6,8,2,10,6,18,0
LOC100646280,LOC100646280,4,6,4,4,8,0,22
LOC105666565,LOC105666565,179,150,292,128,139,1223,298
LOC100643271,LOC100643271,56,80,20,17,66,90,57
LOC100643148,LOC100643148,403,571,265,415,678,348,1256
LOC100643394,LOC100643394,52,85,48,2,109,69,45
LOC105666622,LOC105666622,9,4,0,1,11,6,0
LOC105666614,LOC105666614,64,71,23,10,78,85,82
LOC100643599,LOC100643599,66,181,215,252,105,46,125
LOC100643719,LOC100643719,59,86,291,274,84,270,85
LOC100643838,LOC100643838,18,22,58,2,27,240,0
LOC100644047,LOC100644047,8,20,19,2,8,92,12
LOC100644159,LOC100644159,370,376,330,202,384,774,553
LOC100644279,LOC100644279,22,20,24,26,24,36,20
LOC100644472,LOC100644472,168,145,185,94,171,390,319
LOC100644590,LOC100644590,609,802,249,195,731,246,468
LOC100646400,LOC100646400,6,2,2,4,22,15,39
LOC100644709,LOC100644709,98,98,54,82,86,204,82
LOC100646647,LOC100646647,0,2,0,0,2,0,0
LOC100644834,LOC100644834,75,74,2,6,38,4,10
LOC100644951,LOC100644951,115,107,727,716,164,860,2436
LOC100645155,LOC100645155,22,26,59,60,39,29,27
LOC100645277,LOC100645277,0,2,10,5,0,2,0
LOC100645399,LOC100645399,0,0,0,0,0,0,0
LOC100645512,LOC100645512,23,22,48,80,18,8,74
LOC100645616,LOC100645616,2,0,4,0,0,0,2
LOC100645738,LOC100645738,0,0,1,0,0,0,2
LOC100645858,LOC100645858,12,3,0,8,9,4,12
LOC100645974,LOC100645974,28,4,24,17,12,2,12
LOC105667089,LOC105667089,14,12,48,0,20,58,7
LOC100648081,LOC100648081,6,0,6,6,0,12,2
LOC100647954,LOC100647954,0,0,2,38,1,2,0
LOC100649722,LOC100649722,0,2,0,0,10,208,0
LOC100648195,LOC100648195,163,137,8,0,82,86,11
LOC100650672,LOC100650672,6,9,232,43,13,5860,0
LOC125385434,LOC125385434,0,0,0,0,0,5,0
LOC100650798,LOC100650798,507,893,176,186,434,471,84
TRNAI-AAU,TRNAI-AAU,0,0,0,0,0,0,0
LOC110119319,LOC110119319,0,0,0,0,2,0,0
LOC100650914,LOC100650914,2,5,0,2,2,4,14
LOC110119390,LOC110119390,10,22,2,0,10,1,1
LOC100648310,LOC100648310,1144,2426,284,164,1634,791,132
LOC105665841,LOC105665841,740,1350,68,110,1058,279,298
LOC110119386,LOC110119386,1264,2283,168,279,2496,583,1136
LOC125384623,LOC125384623,2,11,4,3,2,10,13
LOC100651029,LOC100651029,174,124,0,2,156,14,18
LOC100651394,LOC100651394,10,2,0,0,1,0,0
LOC100651150,LOC100651150,113,157,87,68,127,102,90
LOC100651273,LOC100651273,200,255,161,141,231,359,191
LOC100643390,LOC100643390,26,18,21,7,22,31,41
LOC100643267,LOC100643267,0,0,0,0,0,1,0
LOC100651512,LOC100651512,45,35,4,2,17,2,0
LOC125385456,LOC125385456,0,0,0,0,0,0,0
LOC100652102,LOC100652102,20,15,24,9,18,31,16
LOC100651629,LOC100651629,62,61,28,28,54,61,38
LOC100651864,LOC100651864,13,22,18,6,12,37,14
LOC100651980,LOC100651980,70,86,95,71,58,46,53
LOC100651744,LOC100651744,118,79,74,53,83,48,64
LOC100652219,LOC100652219,64,65,73,40,56,77,64
LOC100642191,LOC100642191,153,163,112,151,102,170,91
LOC100642552,LOC100642552,355,469,1016,844,514,1411,573
LOC100642434,LOC100642434,56,52,22,24,56,32,59
LOC100642314,LOC100642314,59,32,51,62,52,50,14
LOC100642793,LOC100642793,70,71,133,78,107,172,87
LOC100642674,LOC100642674,408,527,113,105,474,224,396
LOC100642913,LOC100642913,155,145,181,99,129,338,1431
LOC105667131,LOC105667131,2,2,0,0,0,4,0
LOC100646767,LOC100646767,51,33,49,18,24,68,36
LOC100646890,LOC100646890,25,29,11,8,16,26,24
LOC100647008,LOC100647008,40,38,54,20,40,56,91
LOC100647130,LOC100647130,173,235,242,245,199,425,192
LOC100647248,LOC100647248,115,78,60,96,61,58,82
LOC100648542,LOC100648542,5,11,2,0,11,11,4
LOC100647365,LOC100647365,177,225,94,132,182,304,96
LOC100647487,LOC100647487,16,13,8,8,38,24,36
LOC100648663,LOC100648663,0,0,0,0,0,477,0
LOC100647602,LOC100647602,10,29,10,8,22,33,39
LOC100647714,LOC100647714,16,16,16,10,13,39,12
LOC100647832,LOC100647832,103,73,29,44,76,102,0
LOC110120331,LOC110120331,0,0,0,0,0,0,0
LOC100647952,LOC100647952,98,71,108,40,88,190,75
LOC100648155,LOC100648155,22,68,51,48,68,74,50
LOC100648269,LOC100648269,16,36,20,18,18,11,12
LOC100648386,LOC100648386,5,0,0,5,0,4,126
LOC125385342,LOC125385342,1,0,0,0,2,0,8
LOC125385341,LOC125385341,4,0,0,5,2,0,2
LOC100648501,LOC100648501,10,4,0,0,6,0,0
LOC125385343,LOC125385343,0,0,0,0,1,2,0
LOC100648734,LOC100648734,32,64,32,14,32,49,30
LOC100648848,LOC100648848,21,53,132,83,58,104,75
LOC100648964,LOC100648964,27,47,78,45,31,40,55
LOC100648618,LOC100648618,46,51,3,10,33,50,4
LOC100649162,LOC100649162,14,22,9,8,20,32,6
LOC100649283,LOC100649283,101,90,82,89,56,83,155
LOC125384792,LOC125384792,0,0,0,0,1,0,0
LOC100649609,LOC100649609,45,53,60,34,47,213,76
LOC100649485,LOC100649485,10,16,26,8,16,24,10
LOC100649721,LOC100649721,70,45,94,55,51,110,66
LOC105667166,LOC105667166,59,60,78,31,67,71,50
LOC105665635,LOC105665635,111,110,92,55,95,193,191
LOC100649912,LOC100649912,168,289,842,366,143,725,45
LOC125385057,LOC125385057,2,0,0,2,0,2,2
LOC100651065,LOC100651065,107,65,144,85,96,87,93
LOC100651549,LOC100651549,19,31,30,21,22,18,28
LOC100650389,LOC100650389,32,38,49,32,36,41,35
LOC100651668,LOC100651668,9,9,11,9,2,22,11
LOC100650512,LOC100650512,30,17,27,11,29,14,20
LOC100650140,LOC100650140,95,124,197,147,136,274,155
LOC100651430,LOC100651430,12,10,11,2,8,8,17
LOC100650630,LOC100650630,61,71,34,36,91,43,51
LOC100651186,LOC100651186,18,15,34,11,22,21,20
LOC100650266,LOC100650266,87,72,91,51,89,145,179
LOC100650024,LOC100650024,105,64,72,119,85,103,146
LOC100650833,LOC100650833,77,84,156,70,69,290,62
LOC100650948,LOC100650948,0,13,0,2,4,7,2
LOC100651787,LOC100651787,614,327,74,63,188,312,188
LOC100651909,LOC100651909,70,70,46,16,51,70,33
LOC100652028,LOC100652028,59,67,53,54,101,108,70
LOC100652149,LOC100652149,66,55,24,31,57,51,56
LOC100652268,LOC100652268,21,11,13,156,29,10,0
LOC125384686,LOC125384686,0,2,0,12,0,0,0
LOC105665845,LOC105665845,12,9,2,6,18,6,2
LOC100642235,LOC100642235,241,297,47,76,364,272,129
LOC100642358,LOC100642358,0,0,67,10,0,110,0
LOC100642478,LOC100642478,13,22,10,0,20,12,5
LOC100642595,LOC100642595,157,114,8,0,103,14,4
LOC100642716,LOC100642716,99,115,72,86,83,124,60
LOC125385635,LOC125385635,15,19,6,4,20,6,17
LOC100642832,LOC100642832,131,211,107,62,249,163,191
LOC100642949,LOC100642949,69,142,21,31,161,134,155
LOC100643068,LOC100643068,3,5,0,1,5,12,16
LOC100643311,LOC100643311,23,31,39,6,36,308,13
LOC100643187,LOC100643187,64,97,105,59,108,103,131
LOC100643679,LOC100643679,77,90,28,28,87,105,65
LOC100643557,LOC100643557,415,708,2758,2182,755,1500,599
LOC100643434,LOC100643434,40,74,15,21,57,65,52
LOC105665846,LOC105665846,0,4,4,1,4,0,1
LOC100643874,LOC100643874,82,132,51,28,122,99,98
LOC100643999,LOC100643999,43,28,25,20,27,39,44
LOC125385632,LOC125385632,0,0,0,0,0,0,0
LOC100644115,LOC100644115,187,280,260,185,287,238,14
LOC125385629,LOC125385629,3,7,10,3,7,2,5
LOC100644387,LOC100644387,10,8,6,2,8,45,4
LOC100644629,LOC100644629,74,70,62,44,68,78,71
LOC100644508,LOC100644508,117,89,50,87,86,74,141
LOC125385636,LOC125385636,0,0,2,0,0,0,0
LOC100644747,LOC100644747,38,33,33,26,46,39,34
LOC100644992,LOC100644992,16,29,24,15,32,39,112
LOC100644872,LOC100644872,208,256,224,198,207,212,288
LOC100645111,LOC100645111,15,23,13,6,31,8,18
LOC100645231,LOC100645231,331,370,185,246,312,329,395
LOC110119345,LOC110119345,0,8,2,0,2,0,0
LOC100645477,LOC100645477,61,149,92,42,157,124,61
LOC100645359,LOC100645359,112,91,2,0,124,14,25
LOC100645933,LOC100645933,21,14,0,0,21,2,0
LOC100645818,LOC100645818,259,336,68,89,405,132,448
LOC100646133,LOC100646133,39,39,35,25,53,103,34
LOC100646250,LOC100646250,53,36,36,39,25,107,66
LOC100646454,LOC100646454,32,55,162,46,53,221,54
LOC100646695,LOC100646695,145,171,145,89,235,211,563
LOC100646891,LOC100646891,26,43,24,2,31,31,6
LOC100646574,LOC100646574,53,28,55,37,40,104,21
LOC100647009,LOC100647009,579,678,273,373,516,476,437
LOC100647131,LOC100647131,83,119,42,53,147,181,300
LOC100647249,LOC100647249,83,145,370,279,107,270,108
LOC100647685,LOC100647685,148,168,60,70,159,111,108
LOC100647366,LOC100647366,90,94,67,60,112,82,68
LOC100647488,LOC100647488,261,370,281,334,299,466,1282
LOC100648891,LOC100648891,112,92,88,74,76,118,90
LOC100648194,LOC100648194,10,12,45,21,15,16,8
LOC100648080,LOC100648080,113,140,130,87,111,127,91
LOC100647953,LOC100647953,96,92,117,93,90,90,85
LOC100648309,LOC100648309,0,16,15,10,4,60,10
LOC125385092,LOC125385092,4,3,5,1,5,16,4
LOC100648422,LOC100648422,17,34,16,6,22,65,22
LOC100648541,LOC100648541,70,88,36,26,53,45,123
LOC100648890,LOC100648890,193,308,970,619,318,1293,453
LOC100648776,LOC100648776,292,291,140,51,296,263,654
LOC100648662,LOC100648662,782,821,824,688,734,2005,685
LOC100649013,LOC100649013,532,610,500,480,645,625,902
LOC100649012,LOC100649012,191,203,269,145,200,307,246
LOC100649245,LOC100649245,0,0,0,0,2,0,0
LOC100649199,LOC100649199,29,53,75,81,59,71,37
LOC100649435,LOC100649435,69,62,36,29,81,30,58
LOC100649560,LOC100649560,94,70,30,21,90,57,39
LOC100649680,LOC100649680,62,71,28,15,54,73,20
LOC100649318,LOC100649318,185,218,21,22,104,24,9
LOC100649794,LOC100649794,145,158,216,239,143,104,73
LOC100650141,LOC100650141,61,101,88,47,80,188,125
LOC100650267,LOC100650267,85,138,30,30,83,39,45
LOC100650589,LOC100650589,96,86,113,65,94,51,37
LOC100650712,LOC100650712,136,150,72,143,144,110,69
LOC100650913,LOC100650913,22,14,18,14,21,59,40
LOC100651028,LOC100651028,8,2,16,8,6,122,6
LOC125384622,LOC125384622,0,0,0,0,0,0,0
LOC100651149,LOC100651149,0,0,0,0,0,0,0
LOC100651272,LOC100651272,38,17,22,14,29,24,25
LOC100651475,LOC100651475,79,70,26,8,66,136,24
LOC100651945,LOC100651945,49,54,38,20,66,68,88
LOC100651592,LOC100651592,59,56,32,38,65,85,58
LOC100651710,LOC100651710,63,91,74,33,71,274,84
LOC100652068,LOC100652068,4603,5524,107,8,5499,28,1131
LOC100651828,LOC100651828,402,576,60,52,682,63,98
LOC100649365,LOC100649365,21,21,42,20,10,56,24
LOC100642479,LOC100642479,109,93,63,74,79,139,97
LOC100642792,LOC100642792,60,90,44,38,66,98,49
LOC100642596,LOC100642596,102,102,27,51,90,59,83
LOC100642912,LOC100642912,264,801,967,462,830,461,649
LOC100643107,LOC100643107,25,76,16,10,73,136,41
LOC110119148,LOC110119148,11,8,9,4,12,33,20
LOC100643515,LOC100643515,3,6,10,4,14,14,15
LOC100643395,LOC100643395,84,81,109,71,38,86,54
LOC100643639,LOC100643639,18,31,26,26,8,10,42
LOC100643875,LOC100643875,0,2,3,3,0,0,1
LOC100649610,LOC100649610,0,0,0,6,0,0,0
LOC105665767,LOC105665767,0,0,42,55,2,1,2
LOC100644000,LOC100644000,65,55,52,40,68,143,68
LOC100644238,LOC100644238,16,4,38,20,6,80,16
LOC100644591,LOC100644591,48,45,45,36,59,61,68
LOC100644473,LOC100644473,431,524,509,373,369,950,499
LOC100644355,LOC100644355,58,46,20,2,38,42,4
LOC100644792,LOC100644792,80,73,6,0,35,10,0
LOC110119626,LOC110119626,123,80,0,0,100,6,0
LOC100644915,LOC100644915,50,84,32,32,58,95,61
LOC100645039,LOC100645039,27,50,52,21,50,32,47
LOC100645156,LOC100645156,67,55,22,12,56,40,78
LOC100645278,LOC100645278,36,68,64,20,38,151,60
LOC100649835,LOC100649835,5,12,9,18,0,0,0
LOC100649952,LOC100649952,12,14,9,8,5,63,17
LOC100645617,LOC100645617,32,54,34,30,37,75,36
LOC105665794,LOC105665794,24,24,32,16,36,43,40
LOC100645400,LOC100645400,42,77,38,20,81,48,44
LOC105665806,LOC105665806,0,9,4,1,10,2,8
LOC100645819,LOC100645819,900,817,649,562,816,2620,1915
LOC100645934,LOC100645934,20,30,5,8,34,36,12
LOC100650066,LOC100650066,287,380,79,47,379,62,31
LOC125384681,LOC125384681,1,0,1,1,5,6,0
LOC125384680,LOC125384680,29,29,2,12,20,28,20
LOC100646051,LOC100646051,69,62,53,73,56,70,34
LOC100646167,LOC100646167,0,0,40,516,0,76,1001
LOC100646281,LOC100646281,6,0,2,0,2,2,6
LOC100646401,LOC100646401,30,9,22,10,11,14,0
LOC100646528,LOC100646528,13,20,44,46,26,30,6
LOC100646648,LOC100646648,98,86,41,50,74,60,26
LOC100646768,LOC100646768,214,252,222,218,177,286,690
LOC100646972,LOC100646972,158,121,105,90,113,102,133
LOC100647209,LOC100647209,101,142,137,65,97,168,141
LOC100650310,LOC100650310,9,12,5,2,12,11,31
LOC105665823,LOC105665823,15,13,5,6,13,18,13
LOC100647089,LOC100647089,11,20,56,30,21,56,30
LOC100650428,LOC100650428,0,4,44,32,0,6,0
LOC100647406,LOC100647406,38,62,27,23,60,32,37
LOC125384980,LOC125384980,4,3,5,2,6,0,2
LOC100647528,LOC100647528,160,256,0,0,219,0,1
LOC100647833,LOC100647833,8,9,4,3,10,14,99
LOC100647715,LOC100647715,0,0,0,0,0,0,0
LOC100650550,LOC100650550,0,0,2,0,0,0,0
LOC100647489,LOC100647489,269,306,36,55,298,48,288
LOC100647250,LOC100647250,156,131,88,66,118,191,112
LOC100647132,LOC100647132,172,165,200,173,198,177,148
LOC100647010,LOC100647010,121,93,48,23,84,207,91
LOC100649436,LOC100649436,26,54,16,4,70,43,49
LOC100646892,LOC100646892,118,137,4,0,110,9,4
LOC100646455,LOC100646455,26,26,60,60,51,26,6
LOC100646575,LOC100646575,121,177,101,105,180,217,249
LOC100646331,LOC100646331,80,54,28,50,39,97,74
LOC100646215,LOC100646215,43,55,52,45,54,53,24
LOC100646093,LOC100646093,95,145,58,87,124,248,92
LOC100649079,LOC100649079,31,39,3,0,18,7,7
LOC100649200,LOC100649200,2,2,0,0,0,0,0
LOC125385276,LOC125385276,0,0,0,0,0,0,0
LOC100645902,LOC100645902,34,62,28,14,62,46,57
LOC100645667,LOC100645667,76,72,72,10,79,133,66
LOC100645551,LOC100645551,14,18,91,0,12,456,6
LOC100648965,LOC100648965,32,44,4,0,49,34,10
LOC105665935,LOC105665935,4,11,10,7,13,53,12
LOC105665938,LOC105665938,20,20,19,12,18,25,7
LOC100645232,LOC100645232,47,30,51,74,26,48,21
LOC100645360,LOC100645360,36,56,71,80,36,139,52
LOC100645112,LOC100645112,8,20,415,494,19,270,14
LOC100644993,LOC100644993,172,186,182,229,166,122,144
LOC100644873,LOC100644873,217,164,61,48,128,116,145
LOC100644670,LOC100644670,269,185,135,79,183,202,185
LOC100644547,LOC100644547,187,206,90,106,132,118,103
LOC100644319,LOC100644319,141,149,8,0,147,18,41
LOC100644201,LOC100644201,21,15,0,0,18,0,0
LOC100644085,LOC100644085,49,78,4,0,34,9,2
LOC100643962,LOC100643962,293,352,388,366,179,481,139
LOC100643839,LOC100643839,25,38,34,4,32,64,52
LOC100643720,LOC100643720,85,173,12,112,189,70,91
LOC100643600,LOC100643600,12,22,30,12,18,33,10
LOC100643473,LOC100643473,32,57,40,36,37,66,66
LOC100643230,LOC100643230,22,17,52,19,50,22,68
LOC100648849,LOC100648849,88,69,160,135,89,106,118
LOC100648664,LOC100648664,111,111,93,59,98,175,99
LOC100644001,LOC100644001,12,19,12,4,26,5,11
LOC100643876,LOC100643876,22,23,15,9,9,30,20
LOC100643753,LOC100643753,63,53,104,83,78,77,76
LOC105665906,LOC105665906,97,64,101,82,93,70,291
LOC100643640,LOC100643640,27,68,54,16,55,53,38
LOC100643396,LOC100643396,133,157,130,92,97,178,119
LOC110120287,LOC110120287,0,1,0,0,3,0,1
LOC110120288,LOC110120288,13,12,22,15,37,32,21
LOC100643272,LOC100643272,87,53,52,20,40,57,84
LOC100642914,LOC100642914,76,99,54,54,101,56,78
LOC100643029,LOC100643029,50,52,70,49,42,104,54
LOC100648424,LOC100648424,287,242,152,178,266,167,263
LOC100642794,LOC100642794,34,36,32,70,44,75,22
LOC100642675,LOC100642675,0,0,1,2,0,0,0
LOC125384687,LOC125384687,2,0,27,10,0,12,0
LOC100648311,LOC100648311,4,29,751,622,34,43,12
LOC100642553,LOC100642553,57,86,422,189,95,81,198
LOC100642435,LOC100642435,32,38,66,31,33,32,60
LOC100642315,LOC100642315,64,66,48,34,45,247,49
LOC100642192,LOC100642192,101,108,85,187,114,223,162
LOC100648196,LOC100648196,20,27,24,25,24,37,20
LOC100651745,LOC100651745,52,60,57,26,47,73,82
LOC100651865,LOC100651865,13,7,10,3,11,18,7
LOC100648082,LOC100648082,4,3,18,4,3,28,17
LOC100651630,LOC100651630,92,132,105,57,78,117,129
LOC100651357,LOC100651357,85,120,39,86,116,126,48
LOC100651236,LOC100651236,16,18,21,15,31,52,23
LOC100651114,LOC100651114,16,12,13,5,13,62,4
LOC100650799,LOC100650799,65,62,52,22,68,69,65
LOC100650551,LOC100650551,182,195,124,175,226,87,186
LOC100647955,LOC100647955,90,136,108,67,144,65,37
LOC100650673,LOC100650673,42,55,89,67,47,27,26
LOC100650429,LOC100650429,41,24,30,23,51,53,36
LOC110119577,LOC110119577,0,4,1,0,7,5,4
LOC100650311,LOC100650311,57,88,62,10,86,62,73
LOC100649681,LOC100649681,163,241,84,111,201,179,254
LOC100649561,LOC100649561,141,206,18,65,164,113,138
LOC125384778,LOC125384778,0,0,0,0,0,0,0
LOC100650188,LOC100650188,0,0,0,0,0,0,0
LOC100650067,LOC100650067,0,0,0,0,0,0,0
LOC125384747,LOC125384747,0,0,0,0,2,4,0
LOC100646769,LOC100646769,42,34,6,4,19,6,6
LOC100644429,LOC100644429,367,854,37,2,1171,36,2
LOC110119437,LOC110119437,94,60,14,29,72,83,93
LOC100645788,LOC100645788,132,224,0,0,257,6,0
LOC100652150,LOC100652150,3308,15485,26,0,23050,34,52
LOC100647834,LOC100647834,18,18,37,32,18,27,67
LOC125387159,LOC125387159,4,8,0,9,12,14,0
LOC125387155,LOC125387155,3,3,8,0,10,5,5
LOC100650992,LOC100650992,28,29,24,20,18,46,7
LOC100647716,LOC100647716,26,26,24,37,21,48,27
LOC100647603,LOC100647603,12,14,17,18,20,21,17
LOC125384626,LOC125384626,4,5,2,2,3,0,0
LOC125384656,LOC125384656,2,0,0,0,0,0,0
LOC100652265,LOC100652265,4,2,0,2,0,0,0
LOC125387118,LOC125387118,0,0,0,0,0,2,0
LOC100643721,LOC100643721,0,0,0,0,0,0,0
LOC110120262,LOC110120262,0,0,0,0,0,0,0
LOC125387154,LOC125387154,0,4,0,0,3,0,1
LOC100650065,LOC100650065,0,0,4,0,0,0,0
LOC125387151,LOC125387151,1,1,0,0,0,0,0
LOC125386808,LOC125386808,0,0,0,0,0,0,1
LOC125387150,LOC125387150,0,4,0,0,4,0,0
LOC125385100,LOC125385100,0,0,0,0,0,0,0
LOC125387166,LOC125387166,0,4,0,1,0,0,0
LOC100643517,LOC100643517,494,555,321,122,653,288,378
LOC125387165,LOC125387165,6,4,2,0,0,0,0
LOC125387164,LOC125387164,0,0,0,0,0,0,0
LOC100643023,LOC100643023,116,155,99,14,195,334,268
LOC100643144,LOC100643144,29,53,48,22,57,57,53
LOC100644474,LOC100644474,139,181,174,172,171,349,96
LOC125385155,LOC125385155,4,3,0,3,5,6,0
LOC100645618,LOC100645618,100,83,38,36,71,96,41
LOC100646852,LOC100646852,114,92,87,74,84,328,110
LOC100647923,LOC100647923,41,51,42,49,39,115,68
LOC125384605,LOC125384605,61,61,38,24,57,79,54
LOC100649126,LOC100649126,17,30,46,18,31,47,30
LOC100650471,LOC100650471,57,26,3,18,41,61,2
LOC110119348,LOC110119348,1,2,0,2,2,13,0
LOC100642236,LOC100642236,5,6,0,0,2,0,0
LOC100642676,LOC100642676,0,0,0,0,0,0,17127
LOC100642915,LOC100642915,0,0,0,0,0,0,23147
LOC100650232,LOC100650232,1,3,0,2,0,2,3
LOC100643150,LOC100643150,0,2,0,0,0,0,60304
LOC100652029,LOC100652029,7,15,2,7,6,14,10
LOC105665991,LOC105665991,0,0,0,0,0,0,8722
LOC100643273,LOC100643273,204,194,282,295,183,223,246
LOC105665993,LOC105665993,3,1,0,0,2,0,0
LOC105666091,LOC105666091,2,2,80,42,2,485,0
LOC125384835,LOC125384835,0,0,0,0,0,4,0
LOC110119925,LOC110119925,0,0,0,0,0,1432,18
LOC100643794,LOC100643794,112,124,18,35,100,19,2
LOC110119944,LOC110119944,0,0,0,0,2,0,0
LOC125384833,LOC125384833,0,0,0,0,0,0,0
LOC125384832,LOC125384832,0,0,0,0,0,0,0
LOC105665998,LOC105665998,19,10,0,6,12,2,0
LOC105665999,LOC105665999,55,58,30,24,52,50,38
LOC100643921,LOC100643921,8,8,99,8,0,42,2
LOC100644048,LOC100644048,497,610,475,297,515,2121,710
LOC100644280,LOC100644280,66,58,92,94,55,141,126
LOC100644388,LOC100644388,186,294,2,0,383,10,19
LOC125384823,LOC125384823,0,0,0,0,2,0,0
LOC100644160,LOC100644160,10,16,7,29,16,27,12
LOC100644509,LOC100644509,47,59,0,0,71,30,110
LOC125385821,LOC125385821,0,0,0,0,0,0,0
LOC100650713,LOC100650713,0,6,2,6,2,2,16
LOC105666007,LOC105666007,0,0,0,1,0,0,0
