name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100647771,LOC100647771,345,459,215,172,320,247,447
LOC105665737,LOC105665737,95,85,22,24,88,109,74
LOC100647334,LOC100647334,13,16,18,8,5,35,29
LOC125384601,LOC125384601,1,1,0,0,0,4,2
LOC100650880,LOC100650880,282,311,107,129,304,520,459
LOC105665736,LOC105665736,2,4,0,0,2,2,10
LOC100643971,LOC100643971,473,547,116,93,429,159,196
LOC100652275,LOC100652275,622,781,784,768,723,539,592
LOC100649994,LOC100649994,318,297,153,169,276,362,152
LOC100651717,LOC100651717,89,62,30,14,55,50,74
LOC100643482,LOC100643482,198,284,188,160,175,402,343
LOC100651126,LOC100651126,49,71,26,16,48,48,47
LOC105665735,LOC105665735,10,2,15,2,4,29,16
LOC100651001,LOC100651001,76,76,47,42,65,58,38
LOC100645120,LOC100645120,2,1,18,4,1,7,3
LOC100643360,LOC100643360,72,76,1113,574,119,710,444
LOC100646059,LOC100646059,38,26,2,2,31,8,2
LOC125385129,LOC125385129,2,0,0,0,0,0,0
LOC110119307,LOC110119307,40,35,4,0,45,8,14
LOC100651247,LOC100651247,155,147,66,60,141,180,168
LOC100649572,LOC100649572,173,191,80,94,175,80,164
LOC100643039,LOC100643039,65,77,38,35,77,68,104
LOC100650198,LOC100650198,85,123,87,100,88,113,82
LOC100645943,LOC100645943,2,0,2,1,0,0,2
LOC100645002,LOC100645002,713,364,188,150,497,300,493
LOC100642365,LOC100642365,17,22,19,12,18,22,30
LOC100651599,LOC100651599,6,0,4,4,0,8,2
LOC100644169,LOC100644169,125,105,134,79,105,200,90
LOC100646020,LOC100646020,8,6,35,11,12,44,28
LOC100644602,LOC100644602,0,2,6,0,5,6,0
LOC100642244,LOC100642244,18,10,30,34,27,33,21
LOC100645828,LOC100645828,103,554,421,328,548,516,150
LOC125385126,LOC125385126,3,0,0,0,0,0,0
LOC100643607,LOC100643607,175,335,251,43,301,269,330
LOC105665734,LOC105665734,3,6,0,0,10,0,0
LOC100647179,LOC100647179,10,42,0,0,39,2,1
LOC100642804,LOC100642804,275,392,46,318,421,30,356
LOC125385127,LOC125385127,0,0,0,0,0,0,0
LOC100650481,LOC100650481,342,512,866,807,309,581,1082
LOC105665733,LOC105665733,8,9,57,25,3,11,4
LOC100643730,LOC100643730,18,9,15,18,20,26,23
LOC105665732,LOC105665732,2,0,1,2,0,4,0
LOC100645710,LOC100645710,4,5,1,11,9,14,17
LOC100644289,LOC100644289,122,162,163,139,117,265,317
LOC100645485,LOC100645485,0,0,0,0,0,0,0
LOC100649328,LOC100649328,2059,5566,725,20,5183,1010,243
LOC100646139,LOC100646139,36,31,30,8,37,29,34
LOC100646500,LOC100646500,5,13,7,4,8,20,3
LOC100645242,LOC100645242,43,40,27,25,43,57,42
LOC100645369,LOC100645369,78,101,102,133,109,291,20
LOC100645907,LOC100645907,6,21,30,18,6,99,2
LOC100642924,LOC100642924,81,109,25,31,115,50,35
LOC100645673,LOC100645673,544,485,614,584,517,685,708
LOC100652158,LOC100652158,45,71,68,40,56,48,50
LOC100644398,LOC100644398,116,138,167,117,96,326,121
LOC105665731,LOC105665731,160,210,109,165,139,155,139
LOC100646377,LOC100646377,30,17,62,51,8,20,23
LOC100649448,LOC100649448,145,152,131,170,140,163,98
LOC100651834,LOC100651834,81,54,136,95,74,71,33
LOC100649878,LOC100649878,99,81,132,58,93,97,73
LOC100651367,LOC100651367,26,34,23,18,44,75,57
LOC100643158,LOC100643158,131,214,119,145,235,294,479
LOC125385137,LOC125385137,2,2,0,0,0,0,1
LOC110119324,LOC110119324,0,0,0,0,0,0,2
LOC100642688,LOC100642688,7,10,27,54,10,43,31
LOC125385088,LOC125385088,0,2,0,0,2,2,0
LOC105665796,LOC105665796,0,0,0,0,2,0,0
LOC100649208,LOC100649208,17,31,0,2,50,5,8
LOC125385144,LOC125385144,0,0,0,0,0,0,0
LOC105665795,LOC105665795,0,0,6,12,2,2,0
LOC100649088,LOC100649088,150,233,115,93,172,166,113
LOC100648974,LOC100648974,90,120,61,72,109,128,136
LOC100648782,LOC100648782,73,89,41,44,53,77,41
LOC100648672,LOC100648672,99,95,48,39,68,66,76
LOC105665728,LOC105665728,18,8,4,2,10,5,3
LOC100648553,LOC100648553,25,46,12,0,13,31,18
LOC100648245,LOC100648245,78,196,75,19,156,471,2
LOC100648130,LOC100648130,75,67,108,50,57,174,80
LOC100648016,LOC100648016,96,78,60,28,59,87,65
LOC100647896,LOC100647896,6,4,18,6,8,44,2
LOC125385103,LOC125385103,0,0,0,0,1,1,2
LOC125385111,LOC125385111,0,0,0,0,1,0,0
LOC100647456,LOC100647456,45,36,27,25,52,48,59
LOC105665726,LOC105665726,118,127,27,20,199,62,60
LOC125385117,LOC125385117,4,5,0,0,0,0,1
LOC125385110,LOC125385110,0,0,0,0,0,0,2
LOC125385118,LOC125385118,0,2,0,0,2,0,0
LOC100647574,LOC100647574,38,56,26,36,62,48,45
LOC100647333,LOC100647333,2124,1919,264,290,1647,588,477
LOC125385113,LOC125385113,0,0,0,0,0,0,0
LOC110119293,LOC110119293,31,14,2,4,30,12,37
LOC125385116,LOC125385116,0,0,0,0,0,0,0
LOC100647216,LOC100647216,0,0,0,18,0,1213,1353
LOC100645241,LOC100645241,15,4,33,10,5,109,38
LOC125385114,LOC125385114,0,0,0,0,1,7,5
LOC100646902,LOC100646902,55,85,67,65,53,91,72
LOC100646621,LOC100646621,29,27,25,14,20,70,44
LOC100645001,LOC100645001,41,21,25,8,38,52,44
LOC105665723,LOC105665723,6,4,6,14,4,5,6
LOC105665724,LOC105665724,551,774,88,40,678,114,373
LOC125385106,LOC125385106,0,3,0,0,0,0,5
LOC100646823,LOC100646823,5,2,5,4,11,4,12
LOC105665722,LOC105665722,6,4,0,1,3,0,5
